y_test,y_pred,y_proba
0,0,0.08199409824404819
0,1,0.5267134361327025
0,0,0.10381883510784297
0,0,0.018368449014083545
0,0,0.30314546330647174
0,0,0.19812624078514882
0,0,0.08740831176110962
0,0,0.12402140817114092
0,0,0.38027518679027356
1,0,0.4037053803395973
0,0,0.028523279849065438
0,0,0.021436032796444012
0,0,0.00877639158087949
1,1,0.7005274357718707
0,1,0.8248090979787501
0,1,0.8415554203095889
1,1,0.6686370529845257
0,0,0.25693821241117293
0,1,0.7718382807220314
1,1,0.7203276499479568
0,0,0.1208957897517535
1,0,0.39719607146357055
1,0,0.19835614492664944
1,1,0.6284889672120245
0,1,0.5040356412119298
0,1,0.6221446737893392
0,1,0.7709064316914396
0,1,0.7460328756750572
0,0,0.03293651696883443
1,0,0.11966513478185431
0,0,0.1047347781098968
0,0,0.07515440283006557
0,0,0.005987749878183659
0,1,0.8781084807563002
1,1,0.8392188733121291
0,0,0.0019471515193507784
0,0,0.34485628060012535
0,0,0.09634937450288225
0,0,0.2463231108681926
0,1,0.8342404174183038
1,0,0.15705199277484977
0,1,0.9210824472039721
0,0,0.3660589264587665
0,0,0.11875534503543503
0,0,0.008096532598846462
0,0,0.021908267816296664
0,0,0.02602463558203046
1,1,0.6865314531548806
0,0,0.13993705742696635
0,0,0.2390339311745651
1,1,0.695340997313815
0,1,0.5591388685783126
0,0,0.10614156126718298
0,0,0.22753312447237126
0,0,0.4944061739703308
0,0,0.043872330087595134
0,0,0.024928133240656142
1,1,0.7018429590950205
0,0,0.4056931640521243
1,0,0.08503228803906727
0,0,0.04908339991485385
0,0,0.28079833188271186
0,0,0.05692746449190764
0,0,0.009885106074526868
0,0,0.16441898597273918
0,0,0.06969939181216063
0,0,0.13516014937758775
0,0,0.17715133979515196
0,0,0.48532420604842924
1,1,0.900873673606897
1,1,0.771299959208035
1,1,0.7881573886836937
0,0,0.007071800430625684
0,0,0.020505786962824832
0,0,0.011895256838392616
0,1,0.8343727900212775
1,1,0.8092502096788533
0,0,0.09763479645763791
0,0,0.03834610791636686
0,0,0.21384461674689448
0,0,0.2054904267285825
0,0,0.050194034093919294
0,0,0.033487189105094906
0,1,0.6412869474714485
1,1,0.5171651457891822
0,0,0.4042209113911677
0,0,0.048202670385247476
1,0,0.05457273566386982
0,0,0.02046151970278153
0,0,0.2022555876287151
1,0,0.2708190768504599
1,1,0.712070060449755
0,0,0.0123702263654175
0,0,0.038856146462842155
0,1,0.78014373246473
0,1,0.532650685059601
1,1,0.722019126684689
1,1,0.7072313411876204
0,0,0.007907104478016652
0,0,0.02268425803125286
0,0,0.23190822145303508
0,0,0.05168963224059234
0,0,0.0056272624856685185
0,0,0.01699251222965691
0,1,0.6674533146988009
0,0,0.04897325558300459
0,1,0.827389777003115
1,1,0.8665507648789532
1,1,0.9122472270325173
0,0,0.17181216427244772
1,0,0.19790784114676618
0,0,0.10355325209160407
1,1,0.726936005100174
1,1,0.6543782116210771
0,0,0.009036194938940556
1,0,0.2838663917092102
0,0,0.007828616437512747
1,0,0.17939977519867753
1,0,0.31047661128825726
0,0,0.26030104977923346
0,0,0.3250256875077632
0,0,0.4383907561839932
0,0,0.04197577208688134
1,1,0.7779761491693907
0,0,0.004001192169088017
1,1,0.7868177947426664
0,1,0.6191565259565713
1,1,0.8031819100904232
0,1,0.5892481024002799
1,0,0.36716651639782355
1,1,0.55985104764162
0,0,0.049300824580900716
0,0,0.012792687326455781
0,0,0.2559643228736399
0,0,0.03866667716485707
1,1,0.5496125491547745
0,0,0.0039836549455616885
0,0,0.04955044230276138
1,1,0.8484831881322732
0,0,0.003699334078412737
1,1,0.8757174491024747
0,0,0.010079303524938956
1,1,0.863400858496449
1,0,0.4371006880328143
0,0,0.3698385340408107
1,0,0.36946212200139805
0,0,0.4172452420610096
1,1,0.8050940244343848
0,0,0.01291810999836454
0,1,0.5974906768977803
0,0,0.37038505253337456
0,0,0.03373938152975448
1,1,0.8229696059923055
1,0,0.49236912659466187
0,1,0.7592306215062687
1,0,0.4582552334225808
1,0,0.3401858893846341
1,0,0.30762318617469897
0,1,0.5749038519859514
0,0,0.3972623139086326
0,1,0.5527673472114651
1,0,0.09039372645371203
0,0,0.01612129177452064
0,0,0.013040452308535674
1,1,0.8391217686882095
0,0,0.2540029034705263
0,0,0.2708813027469049
0,0,0.22662987443870367
1,1,0.6323263815859025
0,0,0.004638321229100005
0,1,0.8553911202629629
0,0,0.33326406669766734
0,0,0.019383528622518298
1,1,0.6187078400780381
0,1,0.594341690861372
1,1,0.8236902919461223
1,1,0.5758902646769554
0,0,0.33667718094840304
1,1,0.5482692254560089
1,1,0.5715452671996698
1,1,0.6576012981491699
0,1,0.6210714760301308
1,1,0.7100459115622758
1,1,0.7748418126324578
0,1,0.5989966964156201
0,0,0.16366852724094955
1,0,0.24973164894329214
1,1,0.6148699523994182
1,1,0.5755548031590036
0,0,0.02440666848315826
1,0,0.40409833501041226
0,0,0.2862131145855739
0,1,0.5892713632016593
1,1,0.5146936459000159
1,1,0.9147657194981106
0,0,0.3604910839007692
0,0,0.4857670154086638
0,1,0.5036761210628707
0,0,0.49005786233788357
1,1,0.811696035891752
1,0,0.29322943877922275
1,1,0.5719586147717619
0,1,0.7634952524705979
1,1,0.8194009952569561
0,0,0.08931977810488106
0,0,0.12082753660239677
0,0,0.08892055443841519
0,0,0.3757975851241647
0,1,0.5164957999241017
0,1,0.6380019676144356
0,0,0.04281224761810024
1,1,0.7141544763163199
1,1,0.8416165289615483
1,1,0.7408572714417491
0,0,0.10341268992249049
0,0,0.11973705426865766
0,0,0.07518105845047858
1,0,0.49729784385604037
0,1,0.6995617205456072
0,0,0.17611863750145448
1,1,0.6203646184564428
1,1,0.8436177523134483
0,0,0.08927124899771707
0,0,0.09301402109197515
1,1,0.7539662977115194
0,0,0.35404438830362844
1,1,0.8528008115993784
0,0,0.2973991780175403
0,1,0.589719496235848
1,1,0.6049351297898911
0,0,0.2940321926912953
0,0,0.28570696863733713
0,0,0.42426063772333467
1,0,0.4527059577992323
0,0,0.4569075602828987
0,0,0.07024919934949612
0,0,0.0057438112837322215
0,0,0.011346225564243652
0,0,0.019858531426424898
0,1,0.5410988409913968
0,0,0.019859527020770366
0,0,0.32985054729939917
1,1,0.8888445034554274
0,0,0.16526563951627918
1,1,0.5098397090105443
0,0,0.04040799530783653
1,1,0.8576447503544267
0,0,0.007157971549523053
0,0,0.11094545578187358
0,0,0.0047057824322305365
0,0,0.0288957479563908
0,1,0.7271021723219127
1,1,0.5619568058046013
1,0,0.08710106941118027
1,1,0.660589506028623
0,0,0.023895996811102896
0,0,0.11863767148910855
0,0,0.0191230045757324
0,0,0.0034681881458938036
0,1,0.7605013428825365
0,0,0.06805030156464688
0,0,0.01902517657119124
1,1,0.63948709550664
0,0,0.024775537739557842
0,0,0.2667545219003349
0,0,0.11453633923600004
1,1,0.7367645170568189
0,0,0.35193877441695126
1,1,0.8669865240297603
0,1,0.5821016163269067
0,1,0.7060012885981625
0,0,0.03196838793857881
1,1,0.5202845177220335
0,0,0.00817322581889013
1,1,0.7552331594197187
0,0,0.03799937148967797
0,0,0.44678510536044025
0,0,0.054918074204996246
0,0,0.14495342613831816
1,1,0.8232691733861033
0,0,0.21283389545896753
1,0,0.19192687748097526
0,1,0.8424466830506561
0,0,0.39176541633329937
0,0,0.24296090959036643
1,1,0.8549066882683842
1,0,0.26360791417173585
0,0,0.27709973662166126
0,0,0.02392273615552365
0,1,0.6926223928530812
0,0,0.3810394631709525
1,1,0.5656377318052593
0,0,0.2254240030501277
0,0,0.0246706560509774
0,0,0.3958380643842605
1,0,0.45237330457514885
0,0,0.2637068108527616
0,1,0.5177408929399128
1,1,0.6748351844903614
0,0,0.1607042385866671
0,1,0.5062882529057766
0,0,0.07816849047222267
0,0,0.0044005638108350585
0,0,0.45426629781760763
1,0,0.38190662215748544
0,0,0.10175625260720049
0,0,0.41997398038857614
1,1,0.7847189788152753
0,0,0.004193007396500759
0,0,0.001766399711937106
1,0,0.44805624392809623
0,0,0.004767094306791503
0,0,0.2424387712439667
0,0,0.29718372149244765
0,0,0.1483716550851171
0,0,0.1371313290988666
1,1,0.8835424486864286
0,0,0.1991221620384155
1,1,0.5892017894222745
0,0,0.061126615092019596
0,1,0.6828399199309839
0,0,0.005422818998282219
0,0,0.029607363566272894
0,0,0.31437438355269426
0,0,0.2528101050691953
0,1,0.6455354715858864
0,0,0.10959498838063154
0,0,0.029464951504259394
0,0,0.006032166639480491
0,0,0.012944649516685981
0,0,0.26024843821027255
0,0,0.2466690821608019
0,1,0.7394165092812494
1,0,0.36171491067076905
0,1,0.7432037041887788
1,0,0.47392215308317
0,0,0.013299961257639303
1,1,0.6928633424873961
1,0,0.4301380733044006
0,0,0.3499903709931788
0,0,0.07383241906775423
1,1,0.5622553714974492
1,0,0.4484772936362589
0,0,0.020951132129262657
0,0,0.424624756352196
1,1,0.9274746358704075
0,0,0.42830525543464065
0,0,0.12342579270559466
1,1,0.7990613129863889
0,1,0.5812428691545296
0,0,0.179863319546508
0,0,0.03833976701457602
0,0,0.03572642645765273
1,1,0.550536565731182
0,1,0.8338260727410396
1,1,0.8518600640015477
0,0,0.006982930609551084
0,0,0.0909588027638599
0,0,0.016691064441776364
1,1,0.8538699930399488
1,1,0.8479748219271562
0,0,0.21727222084602354
0,0,0.17378822963031654
0,0,0.2852051091302639
0,0,0.11430615052238842
0,1,0.5984854467978529
0,0,0.14949645318731547
0,0,0.019017300710228998
0,0,0.01647055171905187
0,0,0.3630737624672732
1,1,0.7000398950522032
0,0,0.3637983397046379
0,0,0.47254893692997463
0,0,0.014107243281981865
1,1,0.812972927549378
0,0,0.449317690183619
0,0,0.08818724302902896
0,0,0.36402224656420185
0,0,0.2661114928782453
0,0,0.0033637403226607705
0,0,0.05085732095822395
0,0,0.2422890763823159
1,0,0.18520153973113723
0,0,0.08447957067180546
0,0,0.163496197482633
0,1,0.5029834540323218
0,1,0.5931215794436572
0,0,0.08768535180726282
0,0,0.07893307958510866
1,0,0.07876979620296838
0,0,0.3593203305463698
0,0,0.47825319073368805
0,0,0.37328296935413774
0,0,0.10135355081624556
1,0,0.08474187128201742
1,1,0.7438622113272451
0,0,0.2401260981794037
0,0,0.026246432639402063
0,0,0.22658010714513735
1,1,0.8650660104182013
0,0,0.031735387405670834
0,0,0.031790924900821166
0,0,0.29738960991763075
0,1,0.6204035233700784
0,0,0.1536444360269084
0,0,0.47386673665833356
0,0,0.28620309531972504
0,0,0.04847098034960916
0,0,0.3892785510082673
1,1,0.8071364009617341
0,0,0.14695172147215094
0,0,0.0877522927338103
0,0,0.4307815702011092
1,0,0.43959118363111976
0,1,0.656073401637279
1,0,0.05570414156340961
0,0,0.08166666531140614
0,0,0.3841096162082008
0,0,0.038619169344654446
0,1,0.8866032367070629
0,1,0.7534744469309528
0,1,0.855344795309706
0,0,0.281187664531643
1,1,0.8757174491024747
0,0,0.29750982310935986
0,0,0.27764310172788653
0,1,0.5447279275733979
0,1,0.514910142917368
1,1,0.5476818668299918
0,0,0.16750401105250534
1,1,0.803091430183734
0,1,0.6134001342748926
0,1,0.534775147724902
1,1,0.8778977847814066
1,1,0.6123865324570519
1,0,0.4427310843081081
0,0,0.005760492472722393
0,0,0.05984841506445219
1,1,0.8275662492452404
