Churn,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,PaperlessBilling,MonthlyCharges,TotalCharges,DailyCharges,tenure_group,MultipleLines_No phone service,MultipleLines_Yes,InternetService_Fiber optic,InternetService_No,OnlineSecurity_No internet service,OnlineSecurity_Yes,OnlineBackup_No internet service,OnlineBackup_Yes,DeviceProtection_No internet service,DeviceProtection_Yes,TechSupport_No internet service,TechSupport_Yes,StreamingTV_No internet service,StreamingTV_Yes,StreamingMovies_No internet service,StreamingMovies_Yes,Contract_One year,Contract_Two year,PaymentMethod_Credit card (automatic),PaymentMethod_Electronic check,PaymentMethod_Mailed check
-0.601663392508594,-1.0094301272202446,-0.440327089412664,1.0356168260670764,1.533025357281985,-0.9542963467194051,0.32718938968958156,0.8289391504586738,0.02665191521705399,-0.7456070105134281,0.026651915217054113,7-12,False,False,False,False,False,False,False,True,False,False,False,True,False,True,False,False,True,False,False,False,True
-0.601663392508594,0.9906579693175857,-0.440327089412664,-0.9656081041070596,-0.6523049310632244,-0.9542963467194051,0.32718938968958156,-1.2063611658909752,-0.16281861198951006,-0.7680634524870338,-0.16281861198951028,7-12,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True
1.6620589061112208,0.9906579693175857,-0.440327089412664,-0.9656081041070596,-0.6523049310632244,-1.1580161531009565,0.32718938968958156,0.8289391504586738,0.30254759518450747,-0.8834560339840198,0.3025475951845074,0-6,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False
1.6620589061112208,0.9906579693175857,2.271039016322759,1.0356168260670764,-0.6523049310632244,-0.791320501614164,0.32718938968958156,0.8289391504586738,1.1036422803912085,-0.4612396298830237,1.1036422803912087,13-24,False,False,True,False,False,False,False,True,False,True,False,False,False,True,False,True,False,False,False,True,False
1.6620589061112208,-1.0094301272202446,2.271039016322759,1.0356168260670764,-0.6523049310632244,-1.1987601143772668,0.32718938968958156,0.8289391504586738,0.6349520288802342,-0.8893900053896189,0.6349520288802343,0-6,False,False,True,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,True
-0.601663392508594,-1.0094301272202446,-0.440327089412664,-0.9656081041070596,1.533025357281985,-0.9542963467194051,0.32718938968958156,0.8289391504586738,0.1529656000214305,-0.7552469566258698,0.15296560002143006,7-12,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,True,False,False,True,False,False
-0.601663392508594,-1.0094301272202446,2.271039016322759,1.0356168260670764,-0.6523049310632244,1.5718292524118322,0.32718938968958156,0.8289391504586738,1.4925554678152089,2.479892487461679,1.4925554678152086,61-72,False,False,True,False,False,True,False,True,False,True,False,True,False,True,False,True,False,True,False,False,False
-0.601663392508594,0.9906579693175857,-0.440327089412664,1.0356168260670764,-0.6523049310632244,1.24587756220135,0.32718938968958156,0.8289391504586738,0.6598823614074136,1.3652544162590023,0.6598823614074137,61-72,False,True,True,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,True,False,False
-0.601663392508594,-1.0094301272202446,2.271039016322759,-0.9656081041070596,-0.6523049310632244,-1.0357842692720256,0.32718938968958156,0.8289391504586738,-0.5517317994135101,-0.8572053798105514,-0.5517317994135099,7-12,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
-0.601663392508594,-1.0094301272202446,-0.440327089412664,1.0356168260670764,1.533025357281985,1.3273654847539706,0.32718938968958156,0.8289391504586738,0.8526769329509349,1.6211872647636918,0.8526769329509352,61-72,False,True,False,False,False,True,False,True,False,True,False,True,False,True,False,True,False,True,False,False,True
